Song Name,Language,Hit Year,Song Artist,Source,Decade
Natacha y yo,ES,1976,Juan Bau,Los$40$,1970
No no hay nadie mas,ES,1976,Angela Carrasco,Los$40$,1970
O tu o nada,ES,1976,Pablo Abraira,Los Superventas,1970
Para que no me olvides,ES,1976,Lorenzo Santamaria,Los Superventas,1970
Propuesta,ES,1976,Roberto Carlos,Los$40$,1970
Quien compra una cancion,ES,1976,Sergio y Estibaliz,Los$40$,1970
Quisiera decir tu nombre,ES,1976,Jose Luis Perales,Los$40$,1970
Sabato pomeriggio,IT,1976,Claudio Baglioni,Los$40$,1970
Save your kisses for me,EN,1976,Brotherhood of man,Los Superventas,1970
Si no te amase,ES,1976,Junior,Los$40$,1970
Si tu fueras mi mujer,ES,1976,Lorenzo Santamaria,Los$40$,1970
Solo tu,ES,1976,Camilo sesto,Los$40$,1970
Tu y yo,ES,1976,Cecilia,Los$40$,1970
Bellisimo,ES,1977,Gonzalo,Los$40$,1970
Cisne cuello negro,ES,1977,Basilio,Los$40$,1970
Credo,ES,1977,Elsa Baeza,Los$40$,1970
Cuentame,ES,1977,The manhatan transfer,Los Superventas,1970
Daddy Cool,EN,1977,Boney M,Los Superventas,1970
Desnudate,ES,1977,Miguel Gallardo,Los$40$,1970
Ella,ES,1977,Luis Fierro,Los$40$,1970
Eres toda una mujer,ES,1977,Albert Hammond,Los$40$,1970
Fiesta,ES,1977,Raffaella Carra,Los Superventas,1970
Gavilan o paloma,ES,1977,Pablo Abraira,Los Superventas,1970
Give a little bit,EN,1977,Supertramp,Los$40$,1970
If you leave me now,EN,1977,Chicago,Los Superventas,1970
Linda,ES,1977,Miguel Bose,Los Superventas,1970
Ma Baker,EN,1977,Boney M,Los Superventas,1970
Memorias,ES,1977,Camilo sesto,Los$40$,1970
Mi buen amor,ES,1977,Camilo sesto,Los$40$,1970
Morir al lado de mi amor,ES,1977,Demis Roussos,Los$40$,1970
Otro ocupa mi lugar,ES,1977,Miguel Gallardo,Los$40$,1970
Oxygene Part IV,Music,1977,Jean michael jarre,Los Superventas,1970
Rockollection,EN,1977,Lauren Voulzy,Los Superventas,1970
Sandokan,IT,1977,Oliver Onions,Los Superventas,1970
Si,ES,1977,Jose Luis Perales,Los$40$,1970
Solo era un niño,ES,1977,Mocedades,Los$40$,1970
Son tus perjumenes mujer,ES,1977,Carlos mejia godoy y los de palacaguina,Los Superventas,1970
Te quiero con locura,ES,1977,Mari Trini,Los$40$,1970
Terciopelo,ES,1977,Joan Baptista Humet,Los$40$,1970
The best disco in town,EN,1977,The ritchie family,Los Superventas,1970
Y te amare,ES,1977,Ana y Johnny,Los$40$,1970
Abrazame y quiereme,ES,1978,Pablo Salvatore,Los$40$,1970
Amor mio como estas,ES,1978,Miguel Bose,Los$40$,1970
Anna,ES,1978,Miguel Bose,Los Superventas,1970
Ballade pour Adeline,Music,1978,Richard Clayderman,Los Superventas,1970
Cara de gitana,ES,1978,Daniel Magal,Los Superventas,1970
El boxeador,ES,1978,Laredo,Los$40$,1970
Esperanzas,ES,1978,Los pecos,Los$40$,1970
Espinita,ES,1978,Albert Hammond,Los$40$,1970
FM (No static at all),EN,1978,Steely Dan,Los$40$,1970
Fue tan poco tu cariño,ES,1978,rocio durcal,Los$40$,1970
Gorrion,ES,1978,Miguel Gallardo,Los$40$,1970
Got a feeling,EN,1978,Patrick Juvet,Los$40$,1970
Llamarada,ES,1978,Lorenzo Santamaria,Los$40$,1970
Necesito un trago,ES,1978,Tequila,Los$40$,1970
Night fever,EN,1978,Bee Gees,Los Superventas,1970
niña,ES,1978,sandro giacobbe,Los$40$,1970
Quien te cantara,ES,1978,Mocedades,Los$40$,1970
Rasputin,EN,1978,Boney M,Los$40$,1970
Rivers of Babylon,EN,1978,Boney M,Los Superventas,1970
Si me amaras,ES,1978,Albert Hammond,Los$40$,1970
Solo tu,ES,1978,Matia Bazar,Los$40$,1970
Stayin' alive,EN,1978,Bee Gees,Los Superventas,1970
Te amo,ES,1978,Umberto Tozzi,Los Superventas,1970
Terciopelo y fuego,ES,1978,Falcons,Los$40$,1970
Terminado,ES,1978,Albert Hammond,Los$40$,1970
Tu,ES,1978,Umberto Tozzi,Los Superventas,1970
Unlimited citations,EN,1978,Cafe Creme,Los Superventas,1970
Y no,ES,1978,Camilo sesto,Los$40$,1970
You're the one that I want,EN,1978,John Travolta & Olivia Newton-John,Los Superventas,1970
Acordes,ES,1979,Los pecos,Los$40$,1970
Agapimu,ES,1979,Ana Belen,Los Superventas,1970
Born to be alive,EN,1979,Patrick Hernandez,Los Superventas,1970
Catch the can,EN,1979,Cherry Lane,Los Superventas,1970
Chiquitita,ES,1979,ABBA,Los Superventas,1970
Da ya thik I'm sexy,EN,1979,Rod Stewart,Los Superventas,1970
El amor,ES,1979,Jose Luis Perales,Los$40$,1970
El amor de mi vida,ES,1979,Camilo sesto,Los$40$,1970
Gloria,ES,1979,Umberto Tozzi,Los Superventas,1970
I wast made for dancin',EN,1979,Leif Garrett,Los Superventas,1970
It's downtown,EN,1979,New Trolls,Los Superventas,1970
Lady winter,EN,1979,Dire Straits,Los$40$,1970
Me llamas,ES,1979,Jose Luis Perales,Los Superventas,1970
